,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
52,52,"$2,374",1 Bed,1 Bath,1d ago,Union PlaceOur team has verified this property200 K St Ne,Washington,DC, 20002,,
53,53,"$2,109",1 Bed,1 Bath,1d ago,Cleveland HouseOur team has verified this property2727 29th St Nw,Washington,DC, 20008,,
54,54,"$2,422",1 Bed,1 Bath,1d ago,2100 ConnecticutOur team has verified this property2100 Connecticut Ave Nw,Washington,DC, 20008,,
55,55,"$1,850",1 Bed,1 Bath,1d ago,1106 7th St Ne,Washington,DC, 20002,,
56,56,"$2,441",1 Bed,1 Bath,1d ago,Cathedral MansionsOur team has verified this property3000 Connecticut Ave Nw,Washington,DC, 20008,,
57,57,"$2,055",1 Bed,1 Bath,1d ago,Park Place at PetworthOur team has verified this property850 Quincy St Nw,Washington,DC, 20011,,
58,58,"$2,160",1 Bed,1 Bath,1d ago,MorseOur team has verified this property550 Morse St Ne,Washington,DC, 20002,,
59,59,"$2,327",1 Bed,1 Bath,1d ago,Kiley600 4th St Sw,Washington,DC, 20024,,
60,60,"$2,851",1 Bed,1 Bath,1d ago,Legacy West End1255 22nd St Nw,Washington,DC, 20037,,
61,61,"$2,809",1 Bed,1 Bath,1d ago,Coda on H315 H St Ne,Washington,DC, 20002,,
62,62,"$2,035",1 Bed,1 Bath,1d ago,Lex and Leo at Waterfront Station1150 4th St Sw,Washington,DC, 20024,,
63,63,"$2,199",1 Bed,1 Bath,1d ago,The York and Potomac Park510 21st St Nw,Washington,DC, 20006,,
64,64,"$2,550",1 Bed,1 Bath,1d ago,Ora2144 California St Nw,Washington,DC, 20008,,
65,65,"$1,853",1 Bed,1 Bath,1d ago,The Metropolitan Apartments200 Rhode Island Ave Ne,Washington,DC, 20002,,
66,66,"$1,875",1 Bed,1 Bath,1d ago,Dock 7979 Potomac Ave Se,Washington,DC, 20003,,
67,67,"$2,617",1 Bed,1 Bath,1d ago,The Barton at Woodley2701 Calvert St Nw,Washington,DC, 20008,,
68,68,"$1,832",1 Bed,1 Bath,1d ago,The Belgard33 N St Ne,Washington,DC, 20002,,
69,69,"$2,156",1 Bed,1 Bath,1d ago,Highview and Castle ManorOur team has verified this property2505 13th St Nw,Washington,DC, 20009,,
70,70,"$2,040",1 Bed,1 Bath,1d ago,The Edison at Union MarketOur team has verified this property1240 4th St Ne,Washington,DC, 20002,,
71,71,"$2,229",1 Bed,1 Bath,1d ago,Reed Row2101 Champlain St Nw,Washington,DC, 20009,,
72,72,"$2,367",1 Bed,1 Bath,1d ago,Westbrooke Place2201 N St Nw,Washington,DC, 20037,,
73,73,"$2,272",1 Bed,1 Bath,1d ago,Connecticut GardensOur team has verified this property1915 Kalorama Rd Nw,Washington,DC, 20009,,
74,74,"$2,003",1 Bed,1 Bath,1d ago,Calvert House Apartments2401 Calvert St Nw,Washington,DC, 20008,,
75,75,"$1,848",1 Bed,1 Bath,1d ago,1841 Columbia Road1841 Columbia Rd Nw,Washington,DC, 20009,,
76,76,"$2,300",1 Bed,1 Bath,1d ago,Sixteen Hundred1600 16th St Nw,Washington,DC, 20009,,
77,77,"$1,649",1 Bed,1 Bath,1d ago,Rolling TerraceOur team has verified this property1360 Peabody Street Northwest,Washington,DC, 20011,,
78,78,"$1,166",1 Bed,1 Bath,1d ago,6645 Georgia Avenue Northwest,Washington,DC, 20012,,
79,79,"$1,950",1 Bed,1 Bath,2d ago,1311 Delaware Avenue Southwest ,Washington,DC, 20024,,
80,80,"$1,061",1 Bed,1 Bath,2d ago,2201 Q St Se ,Washington,DC, 20020,,
81,81,"$1,300",1 Bed,1 Bath,2d ago,1811 18th St Se ,Washington,DC, 20020,,
82,82,"$3,540",1 Bed,1 Bath,2d ago,600 H St Ne ,Washington,DC, 20002,,
83,83,"$3,030",1 Bed,1 Bath,2d ago,1503 Vermont Ave Nw ,Washington,DC, 20005,,
84,84,"$3,060",1 Bed,1 Bath,2d ago,949 1st St Se ,Washington,DC, 20003,,
85,85,"$4,020",1 Bed,1 Bath,2d ago,601 24th St Nw ,Washington,DC, 20037,,
86,86,"$3,920",1 Bed,1 Bath,2d ago,1901 Connecticut Ave Nw ,Washington,DC, 20009,,
87,87,"$3,150",1 Bed,1 Bath,2d ago,443 New York Ave Nw ,Washington,DC, 20001,,
88,88,"$3,470",1 Bed,1 Bath,2d ago,28 K St Se ,Washington,DC, 20003,,
89,89,"$3,730",1 Bed,1 Bath,2d ago,2400 M St Nw ,Washington,DC, 20037,,
90,90,"$3,540",1 Bed,1 Bath,2d ago,2400 M St Nw ,Washington,DC, 20037,,
91,91,"$3,530",1 Bed,1 Bath,2d ago,733 15th St Nw ,Washington,DC, 20005,,
92,92,"$3,500",1 Bed,1 Bath,2d ago,733 15th St Nw ,Washington,DC, 20005,,
93,93,"$3,210",1 Bed,1 Bath,2d ago,425 8th St Nw ,Washington,DC, 20004,,
94,94,"$2,580",1 Bed,1 Bath,2d ago,1550 7th St Nw ,Washington,DC, 20001,,
95,95,"$2,970",1 Bed,1 Bath,2d ago,1415 17th St Nw ,Washington,DC, 20036,,
96,96,"$2,870",1 Bed,1 Bath,2d ago,1011 4th St Nw ,Washington,DC, 20001,,
97,97,"$2,540",1 Bed,1 Bath,2d ago,1924 8th St Nw ,Washington,DC, 20001,,
98,98,"$3,330",1 Bed,1 Bath,2d ago,949 1st St Se ,Washington,DC, 20003,,
99,99,"$3,020",1 Bed,1 Bath,2d ago,1011 4th St Nw ,Washington,DC, 20001,,
100,100,"$2,425",1 Bed,1 Bath,2d ago,Meridian on FirstOur team has verified this property1000 1st St Se,Washington,DC, 20003,,
101,101,"$2,336",1 Bed,1 Bath,2d ago,Arris1331 4th St Se,Washington,DC, 20003,,
102,102,"$1,425",1 Bed,1 Bath,2d ago,4803 8th St Nw,Washington,DC, 20011,,
103,103,"$2,670",1 Bed,1 Bath,2d ago,The Flats at Dupont CircleOur team has verified this property2000 N St Nw,Washington,DC, 20036,,
104,104,"$1,720",1 Bed,1 Bath,2d ago,Connecticut HeightsOur team has verified this property4850 Connecticut Ave Nw,Washington,DC, 20008,,
105,105,"$2,552",1 Bed,1 Bath,2d ago,1210 MassOur team has verified this property1210 Massachusetts Ave Nw,Washington,DC, 20005,,
106,106,"$2,823",1 Bed,1 Bath,2d ago,2400 MOur team has verified this property2400 M St Nw,Washington,DC, 20037,,
107,107,"$2,003",1 Bed,1 Bath,2d ago,3003 Van NessOur team has verified this property3003 Van Ness St Nw,Washington,DC, 20008,,
108,108,"$1,825",1 Bed,1 Bath,2d ago,AVA NoMaOur team has verified this property55 M St Ne,Washington,DC, 20002,,
109,109,"$2,705",1 Bed,1 Bath,2d ago,2512 Q Street  NWOur team has verified this property2512 Q St Nw ,Washington,DC, 20007,,
110,110,"$4,200",1 Bed,1 Bath,2d ago,222 M St SWOur team has verified this property222 M St Sw,Washington,DC, 20024,,
111,111,"$1,734",1 Bed,1 Bath,2d ago,eaves Tunlaw GardensOur team has verified this property3903 Davis Pl Nw,Washington,DC, 20007,,
112,112,"$1,950",1 Bed,1 Bath,2d ago,1924 17th St NW1924 17th St Nw,Washington,DC, 20009,,
113,113,"$1,300",1 Bed,1 Bath,2d ago,1816 Irving St NE1816 Irving St Ne,Washington,DC, 20018,,
114,114,"$1,100",1 Bed,1 Bath,2d ago,3306 Dubois Place,SE3306 Dubois Pl Se,Wa,shingt,,
115,115,"$1,400",1 Bed,1 Bath,2d ago,300 M St Sw ,Washington,DC, 20024,,
116,116,"$1,825",1 Bed,1 Bath,2d ago,1811 Kalorama Road NW1811 Kalorama Rd Nw,Washington,DC, 20009,,
117,117,"$2,350",1 Bed,1 Bath,2d ago,2000 Connecticut Avenue,NW2000 Connecticut Ave Nw,Wa,shingt,,
