,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
48,48,"$1,999",1 Bed,1 Bath,1d ago,W Mckinley St,Phoenix,AZ, 85003,,
49,49,"$1,625",1 Bed,1 Bath,1d ago,N Tatum Blvd,Phoenix,AZ, 85032,,
50,50,"$1,500",1 Bed,1 Bath,1d ago,920 E Montebello Ave ,Phoenix,AZ, 85014,,
51,51,"$1,325",1 Bed,1 Bath,1d ago,Rise Encore5775 W Roosevelt St,Phoenix,AZ, 85043,,
52,52,"$1,325",1 Bed,1 Bath,1d ago,4127 Arcadia4127 E Indian School Rd,Phoenix,AZ, 85018,,
53,53,"$1,225",1 Bed,1 Bath,1d ago,2606 N 44th St2606 N 44th St,Phoenix,AZ, 85008,,
54,54,"$1,145",1 Bed,1 Bath,1d ago,8245 N 27th Ave8245 N 27th Ave,Phoenix,AZ, 85051,,
55,55,"$1,960",1 Bed,1 Bath,1d ago,18220 N 68th St,Phoenix,AZ, 85054,,
56,56,"$1,150",1 Bed,1 Bath,1d ago,4815 E Thomas Rd,Phoenix,AZ, 85018,,
57,57,"$1,636",1 Bed,1 Bath,1d ago,4333 N 6th Dr,Phoenix,AZ, 85013,,
58,58,"$1,341",1 Bed,1 Bath,1d ago,3010 W Yorkshire Dr,Phoenix,AZ, 85027,,
59,59,"$1,099",1 Bed,1 Bath,1d ago,2323 E Flower St,Phoenix,AZ, 85016,,
60,60,"$1,508",1 Bed,1 Bath,1d ago,14435 S 48th St,Phoenix,AZ, 85044,,
61,61,"$1,400",1 Bed,1 Bath,1d ago,Rise EncoreOur team has verified this property5755 West Roosevelt Street,Phoenix,AZ, 85043,,
62,62,"$1,395",1 Bed,1 Bath,1d ago,Scottsdale GatewayOur team has verified this property5245 East Thomas Road,Phoenix,AZ, 85018,,
63,63,"$1,020",1 Bed,1 Bath,1d ago,Montana on ButlerOur team has verified this property2122 W Butler Dr,Phoenix,AZ, 85021,,
64,64,"$1,475",1 Bed,1 Bath,1d ago,Rise at the Lofts550 E Earll Dr,Phoenix,AZ, 85012,,
65,65,"$1,845",1 Bed,1 Bath,1d ago,Desert ClubOur team has verified this property6901 E Chauncey Ln,Phoenix,AZ, 85054,,
66,66,"$1,806",1 Bed,1 Bath,1d ago,The Met at 3rd and FillmoreOur team has verified this property200 E Fillmore St,Phoenix,AZ, 85004,,
67,67,"$1,670",1 Bed,1 Bath,1d ago,EscapeOur team has verified this property4700 N 16th St,Phoenix,AZ, 85016,,
68,68,"$1,330",1 Bed,1 Bath,1d ago,Presidio North ApartmentsOur team has verified this property17031 N 11th Ave,Phoenix,AZ, 85023,,
69,69,"$1,624",1 Bed,1 Bath,1d ago,The Battery411 S 3rd St,Phoenix,AZ, 85004,,
70,70,"$1,344",1 Bed,1 Bath,1d ago,Avilla MagnoliaOur team has verified this property2525 S 75th Ave,Phoenix,AZ, 85043,,
71,71,"$1,526",1 Bed,1 Bath,1d ago,Level at SixteenthOur team has verified this property1550 E Campbell Ave,Phoenix,AZ, 85014,,
72,72,"$1,040",1 Bed,1 Bath,1d ago,The Mod ApartmentsOur team has verified this property2222 W Beardsley Rd,Phoenix,AZ, 85027,,
73,73,"$1,941",1 Bed,1 Bath,1d ago,Alta North Central777 E Stella Ln,Phoenix,AZ, 85014,,
74,74,"$1,665",1 Bed,1 Bath,1d ago,Avilla GatewayOur team has verified this property9950 W Indian School Rd,Phoenix,AZ, 85037,,
75,75,"$1,470",1 Bed,1 Bath,1d ago,Mountain Park RanchOur team has verified this property4221 E Ray Rd,Phoenix,AZ, 85044,,
76,76,"$1,257",1 Bed,1 Bath,1d ago,San ValienteOur team has verified this property2220 W Mission Ln,Phoenix,AZ, 85021,,
77,77,"$1,476",1 Bed,1 Bath,1d ago,Avilla Camelback RanchOur team has verified this property10770 W Highland Ave,Phoenix,AZ, 85037,,
