,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
50,50,"$1,899",1 Bed,1 Bath,1d ago,Alas Over Lowry82 Uinta Way,Denver,CO, 80230,,
51,51,"$2,120",1 Bed,1 Bath,1d ago,Platform at Union Station1650 Wewatta St,Denver,CO, 80202,,
52,52,"$1,380",1 Bed,1 Bath,1d ago,1151 N Marion St ,Denver,CO, 80218,,
53,53,"$1,225",1 Bed,1 Bath,1d ago,1559 Vine Street1559 Vine St,Denver,CO, 80206,,
54,54,"$2,158",1 Bed,1 Bath,1d ago,Park 17Our team has verified this property1280 E 17th Ave,Denver,CO, 80218,,
55,55,"$1,631",1 Bed,1 Bath,1d ago,4400 SyracuseOur team has verified this property4400 S Syracuse St,Denver,CO, 80237,,
56,56,"$1,839",1 Bed,1 Bath,1d ago,Camden Belleview StationOur team has verified this property6515 E Union Ave,Denver,CO, 80237,,
57,57,"$1,840",1 Bed,1 Bath,1d ago,Skyhouse DenverOur team has verified this property1776 Broadway,Denver,CO, 80202,,
58,58,"$1,245",1 Bed,1 Bath,1d ago,Concord1220 N Emerson St,Denver,CO, 80218,,
59,59,"$1,300",1 Bed,1 Bath,1d ago,1446 Detroit St ,Denver,CO, 80206,,
60,60,"$1,295",1 Bed,1 Bath,1d ago,1085 N Pearl St ,Denver,CO, 80203,,
61,61,"$1,200",1 Bed,1 Bath,1d ago,995 N Corona St ,Denver,CO, 80218,,
62,62,"$1,645",1 Bed,1 Bath,1d ago,8375 E Yale Ave,Denver,CO, 80231,,
63,63,"$1,295",1 Bed,1 Bath,1d ago,2365 W Virginia Ave,Denver,CO, 80223,,
64,64,"$1,599",1 Bed,1 Bath,1d ago,4255 Kittredge St,Denver,CO, 80239,,
65,65,"$2,481",1 Bed,1 Bath,1d ago,Steele Creek3222 E 1st Ave,Denver,CO, 80206,,
66,66,"$1,395",1 Bed,1 Bath,1d ago,Concept on Albion1285 Albion St,Denver,CO, 80220,,
67,67,"$1,780",1 Bed,1 Bath,1d ago,TheoOur team has verified this property985 Albion St,Denver,CO, 80220,,
68,68,"$1,565",1 Bed,1 Bath,1d ago,Circa FitzsimonsOur team has verified this property11700 E 26th Ave,Denver,CO, 80238,,
69,69,"$1,910",1 Bed,1 Bath,1d ago,Eviva on CherokeeOur team has verified this property1250 Cherokee St,Denver,CO, 80204,,
70,70,"$2,239",1 Bed,1 Bath,1d ago,AMLI Riverfront Green1750 Little Raven St,Denver,CO, 80202,,
71,71,"$1,495",1 Bed,1 Bath,1d ago,North Gaylord Street1458 Gaylord St,Denver,CO, 80206,,
72,72,"$1,630",1 Bed,1 Bath,1d ago,818 Logan St.818 N Logan St,Denver,CO, 80203,,
73,73,"$1,255",1 Bed,1 Bath,1d ago,633 N Pearl Street633 N Pearl St,Denver,CO, 80203,,
74,74,"$1,285",1 Bed,1 Bath,1d ago,ToscanaOur team has verified this property40 N Ogden St,Denver,CO, 80218,,
75,75,"$1,295",1 Bed,1 Bath,1d ago,The ProfileOur team has verified this property1560 N Sherman St,Denver,CO, 80203,,
76,76,"$1,245",1 Bed,1 Bath,1d ago,Uptown TerraceOur team has verified this property230 E 19th Ave,Denver,CO, 80203,,
77,77,"$1,595",1 Bed,1 Bath,1d ago,IsabellaOur team has verified this property3055 Vallejo St,Denver,CO, 80211,,
78,78,"$1,545",1 Bed,1 Bath,1d ago,StoryOur team has verified this property990 N Logan St,Denver,CO, 80203,,
79,79,"$1,545",1 Bed,1 Bath,1d ago,The Wheatley FlatsOur team has verified this property530 25th St,Denver,CO, 80205,,
80,80,"$1,120",1 Bed,1 Bath,1d ago,1300 ApartmentsOur team has verified this property1300 Monroe St,Denver,CO, 80206,,
81,81,"$1,460",1 Bed,1 Bath,1d ago,550 E 3rdOur team has verified this property550 E 3rd Ave,Denver,CO, 80203,,
82,82,"$1,085",1 Bed,1 Bath,1d ago,Lincoln CenterOur team has verified this property601 601 & 621 S Lincoln Street,Denver,CO, 80209,,
83,83,"$1,450",1 Bed,1 Bath,1d ago,Elegante ApartmentsOur team has verified this property200 200,210,22,0 Wash,,
84,84,"$1,695",1 Bed,1 Bath,1d ago,Sylvan UptownOur team has verified this property1615 N Pennsylvania St,Denver,CO, 80203,,
85,85,"$2,347",1 Bed,1 Bath,1d ago,AcomaOur team has verified this property816 Acoma St,Denver,CO, 80204,,
86,86,"$1,605",1 Bed,1 Bath,1d ago,Camber ApartmentsOur team has verified this property6025 Ceylon St,Denver,CO, 80249,,
87,87,"$1,355",1 Bed,1 Bath,1d ago,50 CoronaOur team has verified this property50 N Corona St,Denver,CO, 80218,,
88,88,"$1,355",1 Bed,1 Bath,1d ago,270 LincolnOur team has verified this property270 N Lincoln St,Denver,CO, 80203,,
89,89,"$1,585",1 Bed,1 Bath,1d ago,The BritOur team has verified this property77 S Ogden St,Denver,CO, 80209,,
90,90,"$1,545",1 Bed,1 Bath,1d ago,TAVA WatersOur team has verified this property9099 E Mississippi Ave,Denver,CO, 80247,,
91,91,"$1,829",1 Bed,1 Bath,1d ago,2020 LawrenceOur team has verified this property2020 Lawrence St,Denver,CO, 80205,,
92,92,"$1,525",1 Bed,1 Bath,1d ago,1035 Pearl StreetOur team has verified this property1035 N Pearl St,Denver,CO, 80203,,
93,93,"$1,415",1 Bed,1 Bath,1d ago,Tamai Tower at Sakura SquareOur team has verified this property1255 19th St,Denver,CO, 80202,,
94,94,"$1,685",1 Bed,1 Bath,1d ago,B Street LoHiOur team has verified this property1736 Boulder St,Denver,CO, 80211,,
95,95,"$1,545",1 Bed,1 Bath,1d ago,The GauchoOur team has verified this property1201 N Clarkson St,Denver,CO, 80218,,
96,96,"$1,250",1 Bed,1 Bath,1d ago,2700 Federal Blvd2700 Federal Blvd,Denver,CO, 80211,,
97,97,"$1,733",1 Bed,1 Bath,1d ago,Luxe at Mile High3200 W Colfax Ave,Denver,CO, 80204,,
98,98,"$1,860",1 Bed,1 Bath,1d ago,TriVista on Speer1350 Speer Blvd,Denver,CO, 80204,,
99,99,"$1,689",1 Bed,1 Bath,1d ago,Airie800 S Valentia St,Denver,CO, 80247,,
100,100,"$1,100",1 Bed,1 Bath,1d ago,6 BroadwayOur team has verified this property6 N Broadway,Denver,CO, 80203,,
101,101,"$1,105",1 Bed,1 Bath,1d ago,The AngleseyOur team has verified this property815 N Sherman St,Denver,CO, 80203,,
102,102,"$1,430",1 Bed,1 Bath,1d ago,10 S. PennsylvaniaOur team has verified this property10 S Pennsylvania St,Denver,CO, 80209,,
103,103,"$1,590",1 Bed,1 Bath,1d ago,Liv on SteeleOur team has verified this property1412 Steele St,Denver,CO, 80206,,
104,104,"$2,380",1 Bed,1 Bath,1d ago,Gables Residences300 S Monroe St,Denver,CO, 80209,,
