,Lat,Long,Price
0,40.5031627,-74.09649027734604,1350.0
1,40.5211627,-74.09649027734604,1350.0
2,40.5391627,-74.09649027734604,1350.0
3,40.5571627,-74.09649027734604,1350.0
4,40.5751627,-74.09649027734604,1350.0
5,40.5931627,-74.09649027734604,1500.0
6,40.6111627,-74.09649027734604,1850.0
7,40.6291627,-74.09649027734604,1650.0
8,40.6471627,-74.09649027734604,3400.0
9,40.6651627,-74.09649027734604,2800.0
10,40.683162700000004,-74.09649027734604,2950.0
11,40.701162700000005,-74.09649027734604,3279.1666666666665
12,40.719162700000005,-74.09649027734604,5000.0
13,40.737162700000006,-74.09649027734604,5000.0
14,40.75516270000001,-74.09649027734604,5000.0
15,40.5031627,-74.08149027734603,1350.0
16,40.5211627,-74.08149027734603,1350.0
17,40.5391627,-74.08149027734603,1350.0
18,40.5571627,-74.08149027734603,1350.0
19,40.5751627,-74.08149027734603,1350.0
20,40.5931627,-74.08149027734603,1500.0
21,40.6111627,-74.08149027734603,1850.0
22,40.6291627,-74.08149027734603,1650.0
23,40.6471627,-74.08149027734603,3400.0
24,40.6651627,-74.08149027734603,2800.0
25,40.683162700000004,-74.08149027734603,2950.0
26,40.701162700000005,-74.08149027734603,3279.1666666666665
27,40.719162700000005,-74.08149027734603,5000.0
28,40.737162700000006,-74.08149027734603,5000.0
29,40.75516270000001,-74.08149027734603,5000.0
30,40.5031627,-74.06649027734603,1350.0
31,40.5211627,-74.06649027734603,1350.0
32,40.5391627,-74.06649027734603,1350.0
33,40.5571627,-74.06649027734603,1350.0
34,40.5751627,-74.06649027734603,1350.0
35,40.5931627,-74.06649027734603,1550.0
36,40.6111627,-74.06649027734603,1850.0
37,40.6291627,-74.06649027734603,1650.0
38,40.6471627,-74.06649027734603,3400.0
39,40.6651627,-74.06649027734603,2800.0
40,40.683162700000004,-74.06649027734603,2950.0
41,40.701162700000005,-74.06649027734603,3279.1666666666665
42,40.719162700000005,-74.06649027734603,5000.0
43,40.737162700000006,-74.06649027734603,5000.0
44,40.75516270000001,-74.06649027734603,5000.0
45,40.5031627,-74.05149027734603,1350.0
46,40.5211627,-74.05149027734603,1350.0
47,40.5391627,-74.05149027734603,1350.0
48,40.5571627,-74.05149027734603,1350.0
49,40.5751627,-74.05149027734603,1350.0
50,40.5931627,-74.05149027734603,1550.0
51,40.6111627,-74.05149027734603,2350.0
52,40.6291627,-74.05149027734603,1650.0
53,40.6471627,-74.05149027734603,3400.0
